,date,open,high,low,close,volume
9394,2021-05-25 23:23:00,1.22481,1.22481,1.22481,1.22481,2.0
9395,2021-05-25 23:24:00,1.2248,1.22481,1.2248,1.22481,6.0
9396,2021-05-25 23:25:00,1.2248,1.22481,1.2248,1.22481,2.0
9397,2021-05-25 23:27:00,1.2248,1.2248,1.2248,1.2248,1.0
9398,2021-05-25 23:29:00,1.22479,1.2248,1.22476,1.22478,16.0
9399,2021-05-25 23:30:00,1.2248,1.2248,1.22473,1.22473,4.0
9400,2021-05-25 23:31:00,1.22469,1.22473,1.22468,1.22473,9.0
9401,2021-05-25 23:32:00,1.22477,1.22482,1.22475,1.2248,14.0
9402,2021-05-25 23:33:00,1.22479,1.22489,1.22479,1.22489,23.0
9403,2021-05-25 23:34:00,1.22489,1.2249,1.22488,1.22488,6.0
9404,2021-05-25 23:35:00,1.22489,1.2249,1.22488,1.22489,9.0
9405,2021-05-25 23:36:00,1.22486,1.22487,1.22479,1.22479,19.0
9406,2021-05-25 23:37:00,1.22479,1.2248,1.22478,1.22478,11.0
9407,2021-05-25 23:38:00,1.22479,1.2248,1.22478,1.22479,9.0
9408,2021-05-25 23:39:00,1.2248,1.2248,1.22478,1.22479,16.0
9409,2021-05-25 23:40:00,1.22478,1.2248,1.22478,1.22479,23.0
9410,2021-05-25 23:41:00,1.22479,1.22484,1.22479,1.22481,35.0
9411,2021-05-25 23:42:00,1.22482,1.22485,1.22475,1.22475,31.0
9412,2021-05-25 23:43:00,1.22475,1.22485,1.22474,1.22485,36.0
9413,2021-05-25 23:44:00,1.22484,1.22485,1.22484,1.22484,8.0
9414,2021-05-25 23:45:00,1.22484,1.22489,1.22483,1.22484,42.0
9415,2021-05-25 23:46:00,1.22486,1.22488,1.22484,1.22487,17.0
9416,2021-05-25 23:47:00,1.22485,1.22487,1.22484,1.22486,10.0
9417,2021-05-25 23:48:00,1.22486,1.22489,1.22482,1.22483,30.0
9418,2021-05-25 23:49:00,1.22484,1.22485,1.2248,1.22481,23.0
9419,2021-05-25 23:50:00,1.22479,1.22483,1.22479,1.22479,16.0
9420,2021-05-25 23:51:00,1.2248,1.22486,1.22478,1.22486,24.0
9421,2021-05-25 23:52:00,1.22486,1.22489,1.22485,1.22489,19.0
9422,2021-05-25 23:53:00,1.22488,1.22496,1.22484,1.22488,36.0
9423,2021-05-25 23:54:00,1.22492,1.22494,1.22487,1.22493,46.0
9424,2021-05-25 23:55:00,1.22492,1.22495,1.22486,1.22493,88.0
9425,2021-05-25 23:56:00,1.22491,1.22496,1.22491,1.22493,42.0
9426,2021-05-25 23:57:00,1.22493,1.22517,1.22493,1.22517,71.0
9427,2021-05-25 23:58:00,1.22518,1.22525,1.22512,1.2252,84.0
9428,2021-05-26 00:00:00,1.22491,1.22502,1.22491,1.22502,5.0
9429,2021-05-26 00:01:00,1.22501,1.22565,1.22501,1.22545,43.0
9430,2021-05-26 00:02:00,1.22559,1.22559,1.22516,1.22517,30.0
9431,2021-05-26 00:03:00,1.22526,1.2257,1.22514,1.22538,25.0
9432,2021-05-26 00:04:00,1.22522,1.22552,1.22491,1.22496,59.0
9433,2021-05-26 00:05:00,1.22502,1.22506,1.225,1.225,32.0
9434,2021-05-26 00:06:00,1.22497,1.22506,1.22497,1.22506,32.0
9435,2021-05-26 00:07:00,1.22506,1.22508,1.22506,1.22506,22.0
9436,2021-05-26 00:08:00,1.22506,1.22506,1.22506,1.22506,9.0
9437,2021-05-26 00:09:00,1.22506,1.22506,1.22506,1.22506,23.0
9438,2021-05-26 00:10:00,1.22506,1.22508,1.22506,1.22508,8.0
9439,2021-05-26 00:11:00,1.22508,1.22508,1.22507,1.22507,12.0
9440,2021-05-26 00:12:00,1.22508,1.22508,1.22508,1.22508,2.0
9441,2021-05-26 00:13:00,1.22508,1.22508,1.22508,1.22508,8.0
9442,2021-05-26 00:14:00,1.22506,1.22506,1.22503,1.22503,10.0
9443,2021-05-26 00:15:00,1.22503,1.22504,1.22503,1.22503,11.0
9444,2021-05-26 00:16:00,1.22503,1.22504,1.22503,1.22504,9.0
9445,2021-05-26 00:17:00,1.22504,1.22504,1.22503,1.22503,9.0
9446,2021-05-26 00:18:00,1.22504,1.22504,1.225,1.22502,14.0
9447,2021-05-26 00:19:00,1.22502,1.22504,1.225,1.22504,14.0
9448,2021-05-26 00:20:00,1.22503,1.22504,1.22503,1.22504,2.0
9449,2021-05-26 00:21:00,1.22504,1.22504,1.22502,1.22503,9.0
9450,2021-05-26 00:22:00,1.22502,1.22502,1.22502,1.22502,1.0
9451,2021-05-26 00:23:00,1.225,1.225,1.225,1.225,7.0
9452,2021-05-26 00:24:00,1.22501,1.22501,1.22499,1.22499,12.0
9453,2021-05-26 00:25:00,1.22499,1.225,1.22499,1.225,28.0
9454,2021-05-26 00:26:00,1.225,1.225,1.22499,1.22499,12.0
9455,2021-05-26 00:27:00,1.22499,1.22499,1.22499,1.22499,1.0
9456,2021-05-26 00:28:00,1.22499,1.22499,1.22499,1.22499,3.0
9457,2021-05-26 00:30:00,1.22499,1.22499,1.22499,1.22499,3.0
9458,2021-05-26 00:31:00,1.22499,1.225,1.22499,1.225,14.0
