datetime,open,high,low,close
2021-05-11 13:18:00,0.78479,0.78479,0.78464,0.78475
2021-05-11 13:19:00,0.78473,0.78499,0.78473,0.78495
2021-05-11 13:20:00,0.78496,0.78506,0.78486,0.78487
2021-05-11 13:21:00,0.78487,0.78489,0.78481,0.78484
2021-05-11 13:22:00,0.78485,0.78503,0.78475,0.78503
2021-05-11 13:23:00,0.78505,0.78519,0.78505,0.7851
2021-05-11 13:24:00,0.78509,0.7853,0.78508,0.7852
2021-05-11 13:25:00,0.78519,0.78522,0.78505,0.78514
2021-05-11 13:26:00,0.78514,0.78521,0.78509,0.78512
2021-05-11 13:27:00,0.78513,0.78513,0.78494,0.78501
2021-05-11 13:28:00,0.785,0.7851,0.78496,0.78503
2021-05-11 13:29:00,0.78502,0.78505,0.78483,0.78484
2021-05-11 13:30:00,0.78484,0.78484,0.7847,0.78472
2021-05-11 13:31:00,0.78473,0.78477,0.78454,0.78455
2021-05-11 13:32:00,0.78454,0.78454,0.78439,0.78439
2021-05-11 13:33:00,0.78438,0.7845,0.78428,0.78432
2021-05-11 13:34:00,0.78432,0.78432,0.78422,0.78424
2021-05-11 13:35:00,0.78424,0.78427,0.78419,0.78419
2021-05-11 13:36:00,0.78419,0.78422,0.78404,0.78415
2021-05-11 13:37:00,0.78416,0.78432,0.78413,0.78422
2021-05-11 13:38:00,0.78422,0.78424,0.78413,0.7842
2021-05-11 13:39:00,0.78422,0.78432,0.78414,0.78427
2021-05-11 13:40:00,0.78426,0.78432,0.78414,0.78414
2021-05-11 13:41:00,0.78414,0.78422,0.78403,0.78422
2021-05-11 13:42:00,0.78421,0.78426,0.78416,0.78416
2021-05-11 13:43:00,0.78416,0.78421,0.78413,0.78416
2021-05-11 13:44:00,0.78416,0.78416,0.78386,0.78391
2021-05-11 13:45:00,0.7839,0.78404,0.7839,0.78392
2021-05-11 13:46:00,0.7839,0.78391,0.7838,0.78385
2021-05-11 13:47:00,0.78386,0.78402,0.78385,0.78401
2021-05-11 13:48:00,0.78402,0.78405,0.78383,0.78386
2021-05-11 13:49:00,0.78387,0.78395,0.78381,0.78389
2021-05-11 13:50:00,0.78391,0.78414,0.78389,0.78411
2021-05-11 13:51:00,0.7841,0.78417,0.78409,0.78413
2021-05-11 13:52:00,0.78412,0.78412,0.78402,0.78404
2021-05-11 13:53:00,0.78405,0.78429,0.78404,0.78426
2021-05-11 13:54:00,0.78424,0.78431,0.78423,0.7843
2021-05-11 13:55:00,0.78431,0.78435,0.78423,0.78434
2021-05-11 13:56:00,0.78434,0.78434,0.78421,0.78422
2021-05-11 13:57:00,0.78422,0.7843,0.7842,0.7842
2021-05-11 13:58:00,0.7842,0.78438,0.7842,0.78437
2021-05-11 13:59:00,0.78436,0.78438,0.78428,0.7843
2021-05-11 14:00:00,0.78429,0.78433,0.7842,0.78431
2021-05-11 14:01:00,0.78431,0.78431,0.78421,0.7843
2021-05-11 14:02:00,0.78426,0.78435,0.7842,0.78435
2021-05-11 14:03:00,0.78434,0.78435,0.78426,0.78429
2021-05-11 14:04:00,0.78429,0.78441,0.78429,0.78441
2021-05-11 14:05:00,0.78439,0.78451,0.78439,0.78449
2021-05-11 14:06:00,0.7845,0.78454,0.78444,0.78453
2021-05-11 14:07:00,0.78454,0.78455,0.78444,0.78444
2021-05-11 14:08:00,0.78444,0.78447,0.78441,0.78445
2021-05-11 14:09:00,0.78447,0.7845,0.78425,0.78425
2021-05-11 14:10:00,0.78425,0.78435,0.78418,0.78434
2021-05-11 14:11:00,0.78435,0.78447,0.78435,0.78446
2021-05-11 14:12:00,0.78447,0.78447,0.78435,0.78435
2021-05-11 14:13:00,0.78435,0.78451,0.7843,0.78451
2021-05-11 14:14:00,0.78451,0.78468,0.78449,0.7846
2021-05-11 14:15:00,0.78461,0.78461,0.78449,0.78452
2021-05-11 14:16:00,0.78452,0.78466,0.7845,0.78466
2021-05-11 14:17:00,0.78465,0.7847,0.78463,0.78464
2021-05-11 14:18:00,0.78463,0.78472,0.78457,0.78457
2021-05-11 14:19:00,0.7846,0.7847,0.78459,0.78469
2021-05-11 14:20:00,0.78469,0.78469,0.78459,0.78469
2021-05-11 14:21:00,0.78468,0.78468,0.78449,0.78463
2021-05-11 14:22:00,0.78464,0.78469,0.78459,0.78468
2021-05-11 14:23:00,0.78468,0.7848,0.78465,0.78472
2021-05-11 14:24:00,0.78475,0.78491,0.78469,0.78485
2021-05-11 14:25:00,0.78484,0.7849,0.78476,0.78486
2021-05-11 14:26:00,0.78486,0.78486,0.78454,0.78457
2021-05-11 14:27:00,0.78456,0.78476,0.78455,0.78475
2021-05-11 14:28:00,0.78476,0.78488,0.78476,0.78477
2021-05-11 14:29:00,0.78476,0.78482,0.7847,0.78476
2021-05-11 14:30:00,0.78474,0.7848,0.78463,0.7848
2021-05-11 14:31:00,0.7848,0.78498,0.7848,0.78497
2021-05-11 14:32:00,0.78497,0.78498,0.78483,0.78483
2021-05-11 14:33:00,0.78482,0.78486,0.78477,0.78477
2021-05-11 14:34:00,0.78476,0.78479,0.78465,0.78465
2021-05-11 14:35:00,0.78465,0.7848,0.78464,0.78475
2021-05-11 14:36:00,0.78475,0.78478,0.78469,0.78469
2021-05-11 14:37:00,0.78469,0.78478,0.78466,0.78476
2021-05-11 14:38:00,0.78476,0.78476,0.78467,0.78469
2021-05-11 14:39:00,0.7847,0.78472,0.78449,0.7845
2021-05-11 14:40:00,0.7845,0.78468,0.7845,0.78468
2021-05-11 14:41:00,0.78466,0.78466,0.78455,0.78464
2021-05-11 14:42:00,0.78464,0.78485,0.7846,0.78485
2021-05-11 14:43:00,0.78485,0.78494,0.78483,0.7849
2021-05-11 14:44:00,0.7849,0.78498,0.78487,0.7849
2021-05-11 14:45:00,0.78493,0.78495,0.78482,0.78484
2021-05-11 14:46:00,0.78483,0.7849,0.78477,0.78488
2021-05-11 14:47:00,0.78489,0.78493,0.78484,0.78489
2021-05-11 14:48:00,0.7849,0.78493,0.78469,0.78473
2021-05-11 14:49:00,0.7847,0.7847,0.78455,0.78469
2021-05-11 14:50:00,0.78469,0.78475,0.78468,0.78474
2021-05-11 14:51:00,0.78474,0.78477,0.78467,0.78477
2021-05-11 14:52:00,0.78476,0.78491,0.78468,0.7849
2021-05-11 14:53:00,0.7849,0.7849,0.78479,0.78479
2021-05-11 14:54:00,0.78479,0.78486,0.78473,0.7848
2021-05-11 14:55:00,0.78485,0.78496,0.78484,0.78495
2021-05-11 14:56:00,0.78494,0.78495,0.78473,0.78478
2021-05-11 14:57:00,0.78478,0.78478,0.78458,0.78468
2021-05-11 14:58:00,0.78469,0.78471,0.78447,0.7845
2021-05-11 14:59:00,0.7845,0.78465,0.78449,0.78465
2021-05-11 15:00:00,0.78466,0.78482,0.78456,0.7848
2021-05-11 15:01:00,0.78481,0.78485,0.78477,0.7848
2021-05-11 15:02:00,0.78485,0.78493,0.78483,0.7849
2021-05-11 15:03:00,0.78486,0.78487,0.78475,0.78475
2021-05-11 15:04:00,0.78475,0.7849,0.78473,0.7849
2021-05-11 15:05:00,0.78489,0.78499,0.78489,0.78495
2021-05-11 15:06:00,0.78494,0.78497,0.78484,0.78494
2021-05-11 15:07:00,0.78495,0.78504,0.78485,0.78487
2021-05-11 15:08:00,0.78491,0.78506,0.78488,0.785
2021-05-11 15:09:00,0.78501,0.78506,0.78496,0.78496
2021-05-11 15:10:00,0.78495,0.78495,0.78479,0.7849
2021-05-11 15:11:00,0.7849,0.78495,0.78485,0.78489
2021-05-11 15:12:00,0.78486,0.78489,0.78476,0.78479
2021-05-11 15:13:00,0.78479,0.78482,0.78475,0.78475
2021-05-11 15:14:00,0.78475,0.78481,0.78466,0.78472
2021-05-11 15:15:00,0.78472,0.785,0.78472,0.78481
2021-05-11 15:16:00,0.78482,0.78491,0.78456,0.78456
2021-05-11 15:17:00,0.78453,0.78465,0.78413,0.78413
2021-05-11 15:18:00,0.78414,0.78428,0.78405,0.78407
2021-05-11 15:19:00,0.78408,0.78419,0.78408,0.78413
2021-05-11 15:20:00,0.78414,0.78418,0.78401,0.78413
2021-05-11 15:21:00,0.78412,0.78419,0.78403,0.78404
2021-05-11 15:22:00,0.78405,0.7841,0.78397,0.78408
2021-05-11 15:23:00,0.78409,0.78409,0.78393,0.78401
2021-05-11 15:24:00,0.784,0.78403,0.78394,0.78394
2021-05-11 15:25:00,0.78394,0.7841,0.78392,0.78402
2021-05-11 15:26:00,0.78403,0.78411,0.78395,0.78409
2021-05-11 15:27:00,0.78409,0.7841,0.78384,0.78385
2021-05-11 15:28:00,0.78388,0.78391,0.78378,0.78379
2021-05-11 15:29:00,0.78378,0.78385,0.7836,0.78363
2021-05-11 15:30:00,0.78365,0.78365,0.78328,0.78329
2021-05-11 15:31:00,0.7833,0.78366,0.78329,0.78361
2021-05-11 15:32:00,0.7836,0.78371,0.7835,0.78367
2021-05-11 15:33:00,0.78369,0.78373,0.7835,0.7835
2021-05-11 15:34:00,0.7835,0.78351,0.78327,0.78337
2021-05-11 15:35:00,0.78338,0.78353,0.78325,0.7834
2021-05-11 15:36:00,0.78342,0.78349,0.78335,0.7834
2021-05-11 15:37:00,0.78341,0.78355,0.78335,0.78353
2021-05-11 15:38:00,0.78349,0.78365,0.78349,0.78364
2021-05-11 15:39:00,0.78365,0.78371,0.78357,0.78361
2021-05-11 15:40:00,0.7836,0.78378,0.78359,0.78367
2021-05-11 15:41:00,0.78366,0.7837,0.78355,0.78363
2021-05-11 15:42:00,0.78364,0.78364,0.78351,0.78355
2021-05-11 15:43:00,0.78354,0.78362,0.78344,0.78344
2021-05-11 15:44:00,0.78345,0.78375,0.78344,0.78375
2021-05-11 15:45:00,0.78376,0.78395,0.78374,0.78395
2021-05-11 15:46:00,0.78395,0.78395,0.78382,0.78388
2021-05-11 15:47:00,0.78388,0.78388,0.7838,0.78388
2021-05-11 15:48:00,0.78388,0.784,0.78384,0.78391
2021-05-11 15:49:00,0.78392,0.78393,0.78374,0.78374
2021-05-11 15:50:00,0.78375,0.78385,0.78375,0.78381
2021-05-11 15:51:00,0.78383,0.78393,0.7838,0.78384
2021-05-11 15:52:00,0.78383,0.78389,0.78378,0.78386
2021-05-11 15:53:00,0.78388,0.78399,0.78372,0.78378
2021-05-11 15:54:00,0.78377,0.78377,0.78364,0.78371
2021-05-11 15:55:00,0.78371,0.78383,0.78364,0.78379
2021-05-11 15:56:00,0.78377,0.78378,0.78348,0.78348
2021-05-11 15:57:00,0.7835,0.78355,0.78329,0.78333
2021-05-11 15:58:00,0.7833,0.78337,0.78326,0.78335
2021-05-11 15:59:00,0.78333,0.78334,0.78309,0.78311
2021-05-11 16:00:00,0.7831,0.78325,0.78288,0.78323
2021-05-11 16:01:00,0.78322,0.78336,0.78316,0.78325
2021-05-11 16:02:00,0.78324,0.78363,0.78324,0.78362
2021-05-11 16:03:00,0.78363,0.78399,0.78345,0.78377
2021-05-11 16:04:00,0.78377,0.78381,0.78363,0.78369
2021-05-11 16:05:00,0.7837,0.78401,0.7836,0.78395
2021-05-11 16:06:00,0.78397,0.78415,0.78393,0.78394
2021-05-11 16:07:00,0.78394,0.78398,0.78373,0.78377
2021-05-11 16:08:00,0.78376,0.7838,0.78358,0.78359
2021-05-11 16:09:00,0.7836,0.7836,0.78281,0.78299
2021-05-11 16:10:00,0.78301,0.78316,0.78296,0.78302
2021-05-11 16:11:00,0.78304,0.78314,0.78269,0.78274
2021-05-11 16:12:00,0.78273,0.78288,0.78265,0.78278
2021-05-11 16:13:00,0.78277,0.78288,0.78267,0.7828
2021-05-11 16:14:00,0.78281,0.78289,0.78262,0.78264
2021-05-11 16:15:00,0.78266,0.78287,0.78266,0.7828
2021-05-11 16:16:00,0.78279,0.78295,0.78272,0.78292
2021-05-11 16:17:00,0.78292,0.78292,0.78255,0.78256
2021-05-11 16:18:00,0.78258,0.78277,0.78253,0.78269
2021-05-11 16:19:00,0.78268,0.78272,0.78239,0.78243
2021-05-11 16:20:00,0.78242,0.78267,0.78241,0.78264
2021-05-11 16:21:00,0.78263,0.78263,0.78242,0.78247
2021-05-11 16:22:00,0.78247,0.7825,0.78222,0.7824
2021-05-11 16:23:00,0.78239,0.78239,0.78209,0.78209
2021-05-11 16:24:00,0.7821,0.78227,0.78202,0.78216
2021-05-11 16:25:00,0.78216,0.78236,0.78213,0.78228
2021-05-11 16:26:00,0.78228,0.78249,0.78228,0.78246
2021-05-11 16:27:00,0.78243,0.78255,0.78234,0.78234
2021-05-11 16:28:00,0.78233,0.78245,0.78229,0.78229
2021-05-11 16:29:00,0.78228,0.78266,0.78223,0.78265
2021-05-11 16:30:00,0.78264,0.78265,0.78235,0.78247
2021-05-11 16:31:00,0.78249,0.78315,0.78249,0.78311
2021-05-11 16:32:00,0.7831,0.78311,0.78272,0.78273
2021-05-11 16:33:00,0.78275,0.78287,0.78268,0.78274
2021-05-11 16:34:00,0.78274,0.78285,0.78263,0.78263
2021-05-11 16:35:00,0.78265,0.78291,0.78265,0.78284
2021-05-11 16:36:00,0.78284,0.78321,0.78283,0.78304
2021-05-11 16:37:00,0.78304,0.7831,0.78266,0.78268
2021-05-11 16:38:00,0.78267,0.78292,0.78267,0.78292
2021-05-11 16:39:00,0.78291,0.78294,0.78276,0.78278
2021-05-11 16:40:00,0.78277,0.7829,0.78272,0.78282
2021-05-11 16:41:00,0.78282,0.78295,0.78277,0.78289
2021-05-11 16:42:00,0.78288,0.78318,0.78283,0.78318
2021-05-11 16:43:00,0.78318,0.78377,0.78318,0.78375
2021-05-11 16:44:00,0.7837,0.78395,0.7837,0.78389
2021-05-11 16:45:00,0.78389,0.78402,0.78383,0.78392
2021-05-11 16:46:00,0.78389,0.78398,0.78378,0.78387
2021-05-11 16:47:00,0.78387,0.78394,0.78377,0.78379
2021-05-11 16:48:00,0.78378,0.78398,0.78378,0.78389
2021-05-11 16:49:00,0.78388,0.78397,0.78378,0.7838
2021-05-11 16:50:00,0.78382,0.78425,0.78379,0.78423
2021-05-11 16:51:00,0.78423,0.78505,0.78419,0.78493
2021-05-11 16:52:00,0.78493,0.78508,0.78472,0.78477
2021-05-11 16:53:00,0.78482,0.78487,0.78468,0.78475
2021-05-11 16:54:00,0.78474,0.78479,0.78465,0.78473
2021-05-11 16:55:00,0.78475,0.7848,0.78447,0.78459
2021-05-11 16:56:00,0.78461,0.78528,0.78461,0.78528
2021-05-11 16:57:00,0.78528,0.78547,0.78524,0.78528
2021-05-11 16:58:00,0.78529,0.78536,0.78525,0.78527
2021-05-11 16:59:00,0.78526,0.78566,0.78518,0.78553
2021-05-11 17:00:00,0.78554,0.78555,0.78524,0.78524
2021-05-11 17:01:00,0.78524,0.78529,0.78471,0.78479
2021-05-11 17:02:00,0.78477,0.78508,0.78477,0.785
2021-05-11 17:03:00,0.78501,0.78523,0.78484,0.78489
2021-05-11 17:04:00,0.78488,0.78513,0.78483,0.78503
2021-05-11 17:05:00,0.78503,0.78532,0.78498,0.78498
2021-05-11 17:06:00,0.78499,0.78513,0.78493,0.78499
2021-05-11 17:07:00,0.78499,0.78523,0.78495,0.78508
2021-05-11 17:08:00,0.78506,0.78514,0.78486,0.78487
2021-05-11 17:09:00,0.78488,0.78494,0.78462,0.78463
2021-05-11 17:10:00,0.78464,0.78481,0.78454,0.78454
2021-05-11 17:11:00,0.78454,0.78472,0.78427,0.78439
2021-05-11 17:12:00,0.78443,0.78465,0.78443,0.78458
2021-05-11 17:13:00,0.78459,0.78473,0.78442,0.78442
2021-05-11 17:14:00,0.78442,0.78459,0.78437,0.78448
2021-05-11 17:15:00,0.78447,0.7846,0.78437,0.78439
2021-05-11 17:16:00,0.7844,0.78445,0.7841,0.78415
2021-05-11 17:17:00,0.78414,0.78433,0.78409,0.78432
2021-05-11 17:18:00,0.78429,0.78446,0.78427,0.78445
2021-05-11 17:19:00,0.78444,0.78463,0.78435,0.78449
2021-05-11 17:20:00,0.78451,0.78487,0.78448,0.78483
2021-05-11 17:21:00,0.78482,0.78485,0.78466,0.78467
2021-05-11 17:22:00,0.78467,0.78467,0.78438,0.78443
2021-05-11 17:23:00,0.78443,0.78459,0.78437,0.78449
2021-05-11 17:24:00,0.78448,0.78458,0.78418,0.78427
2021-05-11 17:25:00,0.78428,0.78434,0.78394,0.78396
2021-05-11 17:26:00,0.78393,0.78393,0.78365,0.78379
2021-05-11 17:27:00,0.78378,0.78391,0.78376,0.78381
